time,sales
1955-01-01,620
1955-02-01,633
1955-03-01,652
1955-04-01,652
1955-05-01,661
1955-06-01,683
1955-07-01,693
1955-08-01,715
1955-09-01,743
1955-10-01,743
1955-11-01,752
1955-12-01,870
1956-01-01,784
1956-02-01,765
1956-03-01,756
1956-04-01,775
1956-05-01,743
1956-06-01,734
1956-07-01,765
1956-08-01,734
1956-09-01,752
1956-10-01,793
1956-11-01,756
1956-12-01,784
1957-01-01,911
1957-02-01,852
1957-03-01,879
1957-04-01,879
1957-05-01,829
1957-06-01,852
1957-07-01,875
1957-08-01,852
1957-09-01,879
1957-10-01,852
1957-11-01,870
1957-12-01,852
1958-01-01,961
1958-02-01,966
1958-03-01,929
1958-04-01,980
1958-05-01,943
1958-06-01,980
1958-07-01,998
1958-08-01,939
1958-09-01,957
1958-10-01,929
1958-11-01,902
1958-12-01,920
1959-01-01,952
1959-02-01,911
1959-03-01,893
1959-04-01,861
1959-05-01,888
1959-06-01,870
1959-07-01,929
1959-08-01,916
1959-09-01,888
1959-10-01,861
1959-11-01,888
1959-12-01,870
